Rank,Release Group,Worldwide,Domestic,%,Foreign,%
,,,,,,
1,The Eight Hundred,"$461,180,338","$372,755",<0.1%,"$460,807,583",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,Tenet,"$356,300,000","$56,900,000",16%,"$299,400,000",84%
4,Sonic the Hedgehog,"$319,104,189","$146,066,470",45.8%,"$173,037,719",54.2%
5,Dolittle,"$245,229,574","$77,047,065",31.4%,"$168,182,509",68.6%
6,Legend of Deification,"$240,581,901","$214,670",<0.1%,"$240,367,231",99.9%
7,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
8,Onward,"$147,078,663","$61,555,145",41.9%,"$85,523,518",58.1%
9,The Invisible Man,"$130,560,433","$64,914,050",49.7%,"$65,646,383",50.3%
10,The Call of the Wild,"$112,734,234","$62,342,368",55.3%,"$50,391,866",44.7%
11,Mulan,"$68,655,563",-,-,"$68,655,563",100%
12,Vanguard,"$50,122,419","$454,442",0.9%,"$49,667,977",99.1%
13,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
14,After We Collided,"$47,986,949","$2,383,018",5%,"$45,603,931",95%
15,The New Mutants,"$47,177,795","$23,817,894",50.5%,"$23,359,901",49.5%
16,Greenland,"$43,100,000",-,-,"$43,100,000",100%
17,Unhinged,"$42,831,465","$20,831,465",48.6%,"$22,000,000",51.4%
18,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
19,Train to Busan Presents: Peninsula,"$39,003,175","$1,231,407",3.2%,"$37,771,768",96.8%
20,Trolls World Tour,"$34,877,008",-,-,"$34,877,008",100%
21,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
22,Bloodshot,"$33,482,340","$12,561,824",37.5%,"$20,920,516",62.5%
23,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
24,Honest Thief,"$25,808,947","$13,080,435",50.7%,"$12,728,512",49.3%
25,Leap,"$25,783,907","$83,074",0.3%,"$25,700,833",99.7%
26,Emma.,"$25,645,880","$10,055,355",39.2%,"$15,590,525",60.8%
27,Scoob!,"$24,900,000",-,-,"$24,900,000",100%
28,The War with Grandpa,"$24,559,618","$16,365,542",66.6%,"$8,194,076",33.4%
29,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
30,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
31,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
32,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$18,928,194","$200,000",1.1%,"$18,728,194",98.9%
33,The Turning,"$18,714,343","$15,472,775",82.7%,"$3,241,568",17.3%
34,Digimon Adventure: Last Evolution Kizuna,"$17,040,162",-,-,"$17,040,162",100%
35,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
36,I Still Believe,"$15,756,972","$9,868,521",62.6%,"$5,888,451",37.4%
37,The Witches,"$15,300,000",-,-,"$15,300,000",100%
38,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
39,The Personal History of David Copperfield,"$14,056,678","$1,876,298",13.3%,"$12,180,380",86.7%
40,The Hunt,"$10,891,670","$5,812,500",53.4%,"$5,079,170",46.6%
41,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
42,My Spy,"$10,200,000",-,-,"$10,200,000",100%
43,Come Play,"$10,123,696","$8,182,505",80.8%,"$1,941,191",19.2%
44,Freaky,"$9,571,180","$5,919,180",61.8%,"$3,652,000",38.2%
45,10 Days with Dad,"$9,348,773",$856,<0.1%,"$9,347,917",100%
46,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
47,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
48,Malang,"$8,399,765",-,-,"$8,399,765",100%
49,Let Him Go,"$8,145,585","$8,072,335",99.1%,"$73,250",0.9%
50,Spirited Away Studio Ghibli Fest 2020,"$7,724,266",-,-,"$7,724,266",100%
51,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
52,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
53,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
54,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
55,Bill & Ted Face the Music,"$6,202,513","$3,439,660",55.5%,"$2,762,853",44.5%
56,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
57,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
58,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
59,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
60,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
61,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
62,Gladiator 20th Anniversary,"$4,777,216",-,-,"$4,777,216",100%
63,The Broken Hearts Gallery,"$4,753,131","$4,067,442",85.6%,"$685,689",14.4%
64,The Wretched,"$4,314,507","$1,814,193",42%,"$2,500,314",58%
65,Military Wives,"$4,217,455",-,-,"$4,217,455",100%
66,No Escape,"$4,215,955","$167,962",4%,"$4,047,993",96%
67,100% Wolf,"$4,093,711","$478,789",11.7%,"$3,614,922",88.3%
68,Infidel,"$4,051,136","$4,051,136",100%,-,-
69,The Empty Man,"$3,636,310","$2,969,922",81.7%,"$666,388",18.3%
70,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
71,The Rental,"$3,325,119","$1,637,548",49.2%,"$1,687,571",50.8%
72,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
73,Samsam,"$3,272,825","$53,273",1.6%,"$3,219,552",98.4%
74,Ava,"$3,207,177","$497,747",15.5%,"$2,709,430",84.5%
75,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
76,The Secret: Dare to Dream,"$3,139,933",-,-,"$3,139,933",100%
77,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$3,096,080","$2,482,000",80.2%,"$614,080",19.8%
78,Words on Bathroom Walls,"$2,545,992","$2,542,494",99.9%,"$3,498",0.1%
79,The Nightmare Before Christmas 2020 Re-release,"$2,342,526","$2,286,000",97.6%,"$56,526",2.4%
80,Made in Italy,"$2,266,968","$101,339",4.5%,"$2,165,629",95.5%
81,Relic,"$2,241,793","$1,047,083",46.7%,"$1,194,710",53.3%
82,The King of Staten Island,"$2,176,770",-,-,"$2,176,770",100%
83,The High Note,"$2,149,965",-,-,"$2,149,965",100%
84,The Outpost,"$2,011,717",-,-,"$2,011,717",100%
85,Jurassic Park 2020 Re-release,"$1,899,492","$1,386,600",73%,"$512,892",27%
86,The Croods: A New Age,"$1,800,000","$1,800,000",100%,-,-
87,Night Shift,"$1,631,194",$534,<0.1%,"$1,630,660",100%
88,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
89,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
90,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.6%,"$1,164,860",85.4%
91,Saint Maud,"$1,351,896",-,-,"$1,351,896",100%
92,2 Hearts,"$1,346,409","$1,346,409",100%,-,-
93,The Assistant,"$1,338,881","$1,100,313",82.2%,"$238,568",17.8%
94,The Perfect Candidate,"$1,238,614",-,-,"$1,238,614",100%
95,The Goonies 2020 Re-release,"$1,236,438","$825,000",66.7%,"$411,438",33.3%
96,Savage,"$1,206,509",-,-,"$1,206,509",100%
97,Kajillionaire,"$1,100,341","$531,430",48.3%,"$568,911",51.7%
98,Misbehaviour,"$1,087,755",-,-,"$1,087,755",100%
99,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
100,Love and Monsters,"$1,070,714","$1,070,714",100%,-,-
101,Hope Gap,"$1,059,714","$104,732",9.9%,"$954,982",90.1%
102,The Tax Collector,"$1,055,718","$942,666",89.3%,"$113,052",10.7%
103,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
104,The Last Shift,"$1,035,128","$1,034,467",99.9%,$661,<0.1%
105,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
106,True to the Game 2,"$993,782","$993,782",100%,-,-
107,The Vigil,"$935,484",-,-,"$935,484",100%
108,Riverdance 25th Anniversary Show,"$920,607","$81,879",8.9%,"$838,728",91.1%
109,Mafia Inc,"$889,863","$889,863",100%,-,-
110,Cut Throat City,"$864,928","$855,894",99%,"$9,034",1%
111,Sol,"$849,404",$327,<0.1%,"$849,077",100%
112,The Nest,"$835,813","$137,886",16.5%,"$697,927",83.5%
113,Babyteeth,"$821,860","$4,507",0.5%,"$817,353",99.5%
114,Possessor,"$816,348","$752,885",92.2%,"$63,463",7.8%
115,Shortcut,"$793,084","$793,084",100%,-,-
116,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
117,Palm Springs,"$754,497","$164,000",21.7%,"$590,497",78.3%
118,Toy Story 2020 Re-release,"$727,218","$727,000",100%,$218,<0.1%
119,"Monsters, Inc. 2020 Re-release","$726,000","$726,000",100%,-,-
120,The Addams Family 2020 Re-release,"$711,543","$678,926",95.4%,"$32,617",4.6%
121,The Shining 40th Anniversary,"$696,858",-,-,"$696,858",100%
122,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
123,Black Water: Abyss,"$656,976",-,-,"$656,976",100%
124,Alone,"$648,941","$537,589",82.8%,"$111,352",17.2%
125,Synchronic,"$636,673","$636,673",100%,-,-
126,The Burnt Orange Heresy,"$634,806","$144,201",22.7%,"$490,605",77.3%
127,Mermaid in Paris,"$630,987","$1,988",0.3%,"$628,999",99.7%
128,The Climb,"$626,437","$177,005",28.3%,"$449,432",71.7%
129,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
130,Never Too Late,"$618,960",-,-,"$618,960",100%
131,Stevie Nicks 24 Karat Gold the Concert,"$596,905","$410,265",68.7%,"$186,640",31.3%
132,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
133,Guardians of the Galaxy 2020 Re-release,"$564,424","$542,000",96%,"$22,424",4%
134,Black Panther 2020 Re-release,"$550,897","$367,000",66.6%,"$183,897",33.4%
135,Followed,"$548,608","$538,179",98.1%,"$10,429",1.9%
136,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
137,Once Were Brothers: Robbie Robertson and the Band,"$536,534","$449,561",83.8%,"$86,973",16.2%
138,The Call,"$533,153","$516,441",96.9%,"$16,712",3.1%
139,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
140,Spell,"$500,104","$500,104",100%,-,-
141,Summerland,"$486,218","$58,498",12%,"$427,720",88%
